"Event","Donor Code","Donor Name","Donated To","Donated To Date Of Gift","Donated To Gift Value"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","30/04/2025","1302"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","30/04/2025","19690"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","02/05/2025","300"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","02/05/2025","1956"
"2025 Federal Election","51174","Burdett, John","DANIEL, Zoe","19/09/2024","10000"
"2025 Federal Election","51174","Burdett, John","DANIEL, Zoe","03/03/2025","50"
"2025 Federal Election","51174","Burdett, John","DANIEL, Zoe","17/03/2025","15000"
"2025 Federal Election","51164","Burns, Dora","DANIEL, Zoe","12/09/2024","5000"
"2025 Federal Election","51164","Burns, Dora","DANIEL, Zoe","06/03/2025","2500"
"2025 Federal Election","51164","Burns, Dora","DANIEL, Zoe","09/04/2025","12500"
"2025 Federal Election","51216","Burton, Katrina","CHANEY, Katherine Ella","20/09/2024","5000"
"2025 Federal Election","51216","Burton, Katrina","CHANEY, Katherine Ella","06/12/2024","7000"
"2025 Federal Election","51216","Burton, Katrina","CHANEY, Katherine Ella","05/02/2025","5000"
"2025 Federal Election","41215","Catsaras, Nicholas","STEGGALL, Zali","27/05/2025","30000"
"2025 Federal Election","51215","Chaney, Michael","CHANEY, Katherine Ella","12/12/2024","25000"
"2025 Federal Election","51166","Charles, Stephen","DANIEL, Zoe","12/12/2024","2000"
"2025 Federal Election","51166","Charles, Stephen","DANIEL, Zoe","24/03/2025","5000"
"2025 Federal Election","51166","Charles, Stephen","DANIEL, Zoe","07/04/2025","5000"
"2025 Federal Election","51166","Charles, Stephen","DANIEL, Zoe","24/04/2025","5000"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","20/01/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","20/01/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","26/02/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","13/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","14/04/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","01/06/2025","4114"
"2025 Federal Election","40367","Climate 200 Pty Limited","ARROWSMITH, Nicole","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","15/01/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","15/01/2025","2400"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","17/01/2025","1815"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","28/01/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","11/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","01/04/2025","12650"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","10/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","15/04/2025","16000"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","01/06/2025","1153"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","01/06/2025","1391"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","BARTON, Nathan","01/06/2025","2291"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","18/12/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","24/12/2024","115000"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","17/01/2025","3025"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","01/04/2025","14926"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","10/04/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","01/06/2025","7260"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","01/06/2025","1153"
"2025 Federal Election","40367","Climate 200 Pty Limited","BROWN, Tina","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","05/07/2024","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","28/08/2024","59125"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","28/08/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","20/12/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","27/12/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","30/12/2024","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","17/01/2025","297"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","31/01/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","31/01/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","01/02/2025","19690"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","21/02/2025","2200"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","03/04/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","11/04/2025","60000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","19/04/2025","1100"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","23/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","28/04/2025","35000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","22/05/2025","937"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","01/06/2025","5082"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHANEY, Katherine Ella","01/06/2025","3227"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","15/01/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","15/01/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","31/01/2025","1650"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","10/02/2025","642"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","26/02/2025","330"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","26/02/2025","41130"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","28/02/2025","18965"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","11/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","31/03/2025","195228"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","01/04/2025","13369"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","23/04/2025","24000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","28/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","01/06/2025","121"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","01/06/2025","721"
"2025 Federal Election","40367","Climate 200 Pty Limited","CHAPMAN, Susan Margaret","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","21/10/2024","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","23/10/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","26/11/2024","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","16/12/2024","642"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","09/01/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","13/01/2025","66201"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","11/04/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","COOPER, Verity Jane","01/06/2025","4537"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","01/07/2024","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","01/09/2024","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","02/09/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","01/10/2024","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","16/10/2024","2000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","27/11/2024","200"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","20/12/2024","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","30/12/2024","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","17/01/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","31/01/2025","60000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","17/02/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","14/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","03/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","06/04/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","10/04/2025","2200"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","15/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","18/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","DANIEL, Zoe","02/06/2025","40250"
"2025 Federal Election","40367","Climate 200 Pty Limited","DEZARNAULDS, Katherine Louise","17/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","DEZARNAULDS, Katherine Louise","17/02/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DEZARNAULDS, Katherine Louise","14/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DEZARNAULDS, Katherine Louise","14/04/2025","700"
"2025 Federal Election","40367","Climate 200 Pty Limited","DEZARNAULDS, Katherine Louise","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","26/06/2024","1500"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","27/08/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","27/08/2024","94100"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","03/09/2024","10560"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","03/12/2024","45000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","06/12/2024","3366"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","30/12/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","31/01/2025","440"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","31/01/2025","4217"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","14/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","19/02/2025","60000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","26/02/2025","11506"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","26/02/2025","3547"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","28/02/2025","42330"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","28/02/2025","374"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","03/03/2025","50792"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","13/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","27/03/2025","65000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","31/03/2025","306804"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","03/04/2025","70000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","09/04/2025","45000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","10/04/2025","2200"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","28/04/2025","57000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","2162"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","2336"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","DYSON, Alexander Edward","01/06/2025","14459"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","27/08/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","27/08/2024","97619"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","01/02/2025","14850"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","11/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","01/06/2025","2843"
"2025 Federal Election","40367","Climate 200 Pty Limited","FERRES MILES, Claire Jennifer","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","GEORGE, Peter Antony","07/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","GEORGE, Peter Antony","07/02/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","GEORGE, Peter Antony","25/03/2025","6600"
"2025 Federal Election","40367","Climate 200 Pty Limited","GEORGE, Peter Antony","13/04/2025","35000"
"2025 Federal Election","40367","Climate 200 Pty Limited","GEORGE, Peter Antony","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","24/06/2024","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","02/09/2024","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","17/01/2025","288"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","17/04/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","19/04/2025","1100"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","01/06/2025","2860"
"2025 Federal Election","40367","Climate 200 Pty Limited","HAINES, Helen Mary","01/06/2025","4301"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","09/09/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","09/09/2024","110633"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","23/09/2024","2964"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","07/11/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","20/11/2024","65000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","30/12/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","15/01/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/02/2025","23335"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","04/02/2025","200000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","19/02/2025","75000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","26/02/2025","150000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","26/02/2025","660"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","11/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","27/03/2025","180000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","03/04/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","25/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","22/05/2025","897"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/06/2025","4459"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/06/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/06/2025","9438"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/06/2025","1585"
"2025 Federal Election","40367","Climate 200 Pty Limited","HEISE, Carolyn Gai","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOLT, Suzanne Jan","24/12/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOLT, Suzanne Jan","01/04/2025","15529"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOLT, Suzanne Jan","15/04/2025","90000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOLT, Suzanne Jan","01/06/2025","1297"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOLT, Suzanne Jan","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOLT, Suzanne Jan","01/06/2025","15215"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","19/08/2024","17300"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","11/11/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","27/11/2024","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","02/12/2024","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","04/12/2024","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","11/12/2024","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","16/12/2024","642"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","18/12/2024","12000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","30/12/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","17/01/2025","288"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","20/01/2025","35000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/02/2025","27195"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","04/02/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","11/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","27/03/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","31/03/2025","29294"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/04/2025","16719"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","03/04/2025","25000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","09/04/2025","25000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","2450"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","7441"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","HOOK, Kathleen Louise","01/06/2025","4459"
"2025 Federal Election","40367","Climate 200 Pty Limited","HULETT, Kate Jane","28/03/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HULETT, Kate Jane","21/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","HULETT, Kate Jane","01/05/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","16/12/2024","642"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","20/12/2024","74999"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","20/12/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","17/01/2025","288"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","04/02/2025","75000"
